##Data analysis and visualization were performed with Cytoscape

node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Msn	Myh9	10090.ENSMUSP00000113071	10090.ENSMUSP00000016771	0	0	0	0	0.211	0.059	0.8	0.439	0.905
Msn	Vcl	10090.ENSMUSP00000113071	10090.ENSMUSP00000022369	0	0	0	0	0.154	0.208	0	0.849	0.89
Msn	Plec	10090.ENSMUSP00000113071	10090.ENSMUSP00000073124	0	0	0	0	0.097	0.222	0	0.298	0.464
Msn	Pecam1	10090.ENSMUSP00000113071	10090.ENSMUSP00000102408	0	0	0	0	0.22	0.051	0	0.296	0.433
Msn	Slc12a2	10090.ENSMUSP00000113071	10090.ENSMUSP00000111023	0	0	0	0	0.064	0.087	0	0.474	0.512
Msn	Sptan1	10090.ENSMUSP00000113071	10090.ENSMUSP00000121116	0	0	0	0	0.065	0.093	0.5	0.168	0.6
Myh9	Sptbn1	10090.ENSMUSP00000016771	10090.ENSMUSP00000006629	0	0	0	0	0.086	0.051	0.5	0.209	0.611
Myh9	Plec	10090.ENSMUSP00000016771	10090.ENSMUSP00000073124	0	0	0	0	0.157	0.051	0	0.417	0.493
Myh9	Stat3	10090.ENSMUSP00000016771	10090.ENSMUSP00000120152	0	0	0	0	0.143	0	0	0.435	0.495
Myh9	Utrn	10090.ENSMUSP00000016771	10090.ENSMUSP00000076093	0	0	0	0	0.133	0	0	0.467	0.518
Myh9	Tpm3	10090.ENSMUSP00000016771	10090.ENSMUSP00000113978	0	0	0	0	0.169	0.251	0	0.442	0.622
Myh9	Sptan1	10090.ENSMUSP00000016771	10090.ENSMUSP00000121116	0	0	0	0	0.107	0.098	0.5	0.295	0.678
Myh9	Vcl	10090.ENSMUSP00000016771	10090.ENSMUSP00000022369	0	0	0	0	0.163	0.219	0	0.759	0.829
Osmr	Stat3	10090.ENSMUSP00000022746	10090.ENSMUSP00000120152	0	0	0	0	0.163	0	0	0.53	0.59
Pde4b	Stat3	10090.ENSMUSP00000102521	10090.ENSMUSP00000120152	0	0	0	0	0.131	0	0	0.401	0.457
Pdlim1	Vcl	10090.ENSMUSP00000064545	10090.ENSMUSP00000022369	0	0	0	0	0.111	0.197	0	0.294	0.453
Pdlim1	Pdlim5	10090.ENSMUSP00000064545	10090.ENSMUSP00000142737	0	0	0	0.66	0.052	0	0.54	0.475	0.751
Pdlim5	Vcl	10090.ENSMUSP00000142737	10090.ENSMUSP00000022369	0	0	0	0	0.141	0.407	0	0.345	0.638
Pecam1	Plaur	10090.ENSMUSP00000102408	10090.ENSMUSP00000002284	0	0	0	0	0.104	0	0	0.392	0.432
Pecam1	Timp3	10090.ENSMUSP00000102408	10090.ENSMUSP00000020234	0	0	0	0	0.114	0	0	0.355	0.404
Pecam1	Vcl	10090.ENSMUSP00000102408	10090.ENSMUSP00000022369	0	0	0	0	0.079	0	0	0.482	0.502
Pecam1	Serpine1	10090.ENSMUSP00000102408	10090.ENSMUSP00000039586	0	0	0	0	0	0	0	0.547	0.547
Pecam1	Stat3	10090.ENSMUSP00000102408	10090.ENSMUSP00000120152	0	0	0	0	0.072	0.079	0	0.613	0.641
Pecam1	Selp	10090.ENSMUSP00000102408	10090.ENSMUSP00000123924	0	0	0	0	0.13	0.091	0.4	0.808	0.896
Picalm	Wnk1	10090.ENSMUSP00000146501	10090.ENSMUSP00000086017	0	0	0	0	0.344	0.135	0	0.071	0.427
Pim1	Stat3	10090.ENSMUSP00000024811	10090.ENSMUSP00000120152	0	0	0	0	0.09	0.093	0	0.431	0.489
Pkp4	Vcl	10090.ENSMUSP00000099815	10090.ENSMUSP00000022369	0	0	0	0	0.103	0.099	0	0.388	0.462
Plaur	Stat3	10090.ENSMUSP00000002284	10090.ENSMUSP00000120152	0	0	0	0	0.107	0	0	0.398	0.44
Plaur	Selp	10090.ENSMUSP00000002284	10090.ENSMUSP00000123924	0	0	0	0	0.142	0	0	0.393	0.457
Plaur	Serpine1	10090.ENSMUSP00000002284	10090.ENSMUSP00000039586	0	0	0	0	0.345	0.051	0.5	0.978	0.992
Plcb4	Ppp3ca	10090.ENSMUSP00000105736	10090.ENSMUSP00000053101	0	0	0	0	0.046	0	0.65	0.237	0.723
Plcb4	Prkca	10090.ENSMUSP00000105736	10090.ENSMUSP00000062392	0	0	0	0	0	0	0.9	0.296	0.926
Plec	Vcl	10090.ENSMUSP00000073124	10090.ENSMUSP00000022369	0	0	0	0	0.085	0	0	0.679	0.693
Plec	Sptan1	10090.ENSMUSP00000073124	10090.ENSMUSP00000121116	0	0	0	0	0.157	0.183	0	0.362	0.522
Plec	Utrn	10090.ENSMUSP00000073124	10090.ENSMUSP00000076093	0	0	0	0.551	0.14	0	0	0.525	0.574
Prickle2	Samd4	10090.ENSMUSP00000032093	10090.ENSMUSP00000022386	0	0	0	0	0.042	0	0	0.455	0.455
Prkca	Vcl	10090.ENSMUSP00000062392	10090.ENSMUSP00000022369	0	0	0	0	0.06	0	0	0.601	0.608
Prkca	Stat3	10090.ENSMUSP00000062392	10090.ENSMUSP00000120152	0	0	0	0	0.048	0	0	0.613	0.615
Ptpre	Ptprg	10090.ENSMUSP00000147656	10090.ENSMUSP00000022264	0	0	0	0.807	0.051	0.597	0	0.201	0.668
Sbno2	Stat3	10090.ENSMUSP00000151590	10090.ENSMUSP00000120152	0	0	0	0	0.29	0	0	0.23	0.43
Schip1	Zfand5	10090.ENSMUSP00000029346	10090.ENSMUSP00000158187	0	0	0	0	0.054	0	0	0.504	0.511
Selp	Serpine1	10090.ENSMUSP00000123924	10090.ENSMUSP00000039586	0	0	0	0	0.098	0	0	0.611	0.635
Selp	Stat3	10090.ENSMUSP00000123924	10090.ENSMUSP00000120152	0	0	0	0	0.104	0	0	0.385	0.425
Serpine1	Timp3	10090.ENSMUSP00000039586	10090.ENSMUSP00000020234	0	0	0	0	0.138	0	0	0.417	0.476
Serpine1	Stat3	10090.ENSMUSP00000039586	10090.ENSMUSP00000120152	0	0	0	0	0.054	0	0	0.529	0.535
Sgms1	Sgpl1	10090.ENSMUSP00000117336	10090.ENSMUSP00000112975	0	0	0	0	0	0	0	0.48	0.48
Slc12a2	Wnk1	10090.ENSMUSP00000111023	10090.ENSMUSP00000086017	0	0	0	0	0.104	0.322	0	0.777	0.853
Sptan1	Sptbn1	10090.ENSMUSP00000121116	10090.ENSMUSP00000006629	0	0	0	0.668	0.534	0.541	0.8	0.979	0.999
Sptan1	Tpm3	10090.ENSMUSP00000121116	10090.ENSMUSP00000113978	0	0	0	0	0.097	0	0.4	0.186	0.52
Sptbn1	Tpm3	10090.ENSMUSP00000006629	10090.ENSMUSP00000113978	0	0	0	0	0.085	0.064	0.4	0.2	0.533
Sqstm1	Txnrd1	10090.ENSMUSP00000099835	10090.ENSMUSP00000152046	0	0	0	0	0.114	0	0	0.387	0.434
Sqstm1	Stat3	10090.ENSMUSP00000099835	10090.ENSMUSP00000120152	0	0	0	0	0.094	0.066	0	0.39	0.438
Stat3	Timp3	10090.ENSMUSP00000120152	10090.ENSMUSP00000020234	0	0	0	0	0.07	0	0	0.431	0.448
Stat3	Vcl	10090.ENSMUSP00000120152	10090.ENSMUSP00000022369	0	0	0	0	0.063	0	0	0.391	0.406
Stat3	Tcf4	10090.ENSMUSP00000120152	10090.ENSMUSP00000110636	0	0	0	0	0.041	0.042	0	0.473	0.474
Tpm3	Vcl	10090.ENSMUSP00000113978	10090.ENSMUSP00000022369	0	0	0	0	0.153	0	0.5	0.321	0.687
Utrn	Vcl	10090.ENSMUSP00000076093	10090.ENSMUSP00000022369	0	0	0	0	0.12	0.178	0	0.499	0.606
